,gold intent,gold slot,predicted intent,predicted slot,sentences
0,flight,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-fromloc.city_name', 'O', 'B-toloc.city_name', 'I-toloc.city_name', 'O', 'O', 'O', 'O', 'O', 'B-stoploc.city_name', 'I-stoploc.city_name', 'O', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__']",flight,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-toloc.city_name', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__']",BOS i would like to find a flight from charlotte to las vegas that makes a stop in st. louis EOS
1,airfare,"['O', 'O', 'B-depart_date.month_name', 'B-depart_date.day_number', 'O', 'O', 'O', 'O', 'O', 'B-fromloc.city_name', 'O', 'B-toloc.city_name', 'I-toloc.city_name', 'O', 'B-depart_time.time_relative', 'B-depart_time.time', 'I-depart_time.time', 'O', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__']",airfare,"['O', 'O', 'O', 'B-fromloc.city_name', 'O', 'O', 'O', 'O', 'O', 'B-fromloc.city_name', 'O', 'B-toloc.city_name', 'B-toloc.city_name', 'O', 'B-toloc.city_name', 'O', 'O', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__']",BOS on april first i need a ticket from tacoma to san jose departing before 7 am EOS
2,flight,"['O', 'O', 'B-depart_date.month_name', 'B-depart_date.day_number', 'O', 'O', 'O', 'O', 'O', 'O', 'B-fromloc.city_name', 'O', 'B-toloc.city_name', 'I-toloc.city_name', 'O', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__']",flight,"['O', 'O', 'O', 'B-fromloc.city_name', 'O', 'O', 'O', 'O', 'O', 'O', 'B-fromloc.city_name', 'O', 'B-toloc.city_name', 'B-toloc.city_name', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__']",BOS on april first i need a flight going from phoenix to san diego EOS
3,flight,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-round_trip', 'I-round_trip', 'O', 'B-fromloc.city_name', 'O', 'B-toloc.city_name', 'I-toloc.city_name', 'O', 'B-depart_date.month_name', 'B-depart_date.day_number', 'O', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__']",flight,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-toloc.city_name', 'O', 'O', 'O', 'B-toloc.city_name', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__']",BOS i would like a flight traveling one way from phoenix to san diego on april first EOS
4,flight,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-fromloc.city_name', 'O', 'B-toloc.city_name', 'I-toloc.city_name', 'I-toloc.city_name', 'O', 'B-depart_date.month_name', 'B-depart_date.day_number', 'O', 'B-airline_name', 'I-airline_name', 'O', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__']",flight,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-fromloc.city_name', 'O', 'B-toloc.city_name', 'B-toloc.city_name', 'B-toloc.city_name', 'O', 'B-toloc.city_name', 'B-toloc.city_name', 'O', 'B-toloc.city_name', 'O', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__']",BOS i would like a flight from orlando to salt lake city for april first on delta airlines EOS
5,flight,"['O', 'O', 'O', 'O', 'O', 'O', 'B-fromloc.city_name', 'O', 'B-toloc.city_name', 'B-round_trip', 'I-round_trip', 'O', 'B-depart_date.day_name', 'B-depart_time.period_of_day', 'O', 'B-depart_date.day_name', 'B-depart_time.period_of_day', 'O', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__']",flight,"['O', 'O', 'O', 'O', 'O', 'O', 'B-fromloc.city_name', 'O', 'B-toloc.city_name', 'B-toloc.city_name', 'O', 'O', 'B-depart_date.day_name', 'O', 'O', 'O', 'O', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__']",BOS i need a flight from toronto to newark one way leaving wednesday evening or thursday morning EOS
6,flight,"['O', 'B-depart_date.day_name', 'B-depart_time.period_of_day', 'O', 'O', 'O', 'O', 'O', 'O', 'B-fromloc.city_name', 'O', 'B-toloc.city_name', 'O', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__']",flight,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-fromloc.city_name', 'O', 'B-toloc.city_name', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__']",BOS monday morning i would like to fly from columbus to indianapolis EOS
7,flight,"['O', 'O', 'B-depart_date.day_name', 'B-depart_date.month_name', 'B-depart_date.day_number', 'O', 'O', 'O', 'O', 'O', 'O', 'B-fromloc.city_name', 'I-fromloc.city_name', 'O', 'B-toloc.city_name', 'B-depart_time.time_relative', 'B-depart_time.time', 'I-depart_time.time', 'O', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__']",flight,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-toloc.city_name', 'O', 'O', 'B-toloc.city_name', 'B-toloc.city_name', 'O', 'O', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__']",BOS on wednesday april sixth i would like to fly from long beach to columbus after 3 pm EOS
8,flight,"['O', 'B-depart_time.time_relative', 'B-depart_time.time', 'I-depart_time.time', 'O', 'B-depart_date.day_name', 'B-depart_date.month_name', 'B-depart_date.day_number', 'O', 'O', 'O', 'O', 'O', 'O', 'B-fromloc.city_name', 'I-fromloc.city_name', 'O', 'B-toloc.city_name', 'O', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__']",flight,"['O', 'O', 'O', 'B-toloc.city_name', 'O', 'B-toloc.city_name', 'B-toloc.city_name', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-toloc.city_name', 'O', 'O', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__']",BOS after 12 pm on wednesday april sixth i would like to fly from long beach to columbus EOS
9,flight,"['O', 'O', 'O', 'O', 'O', 'O', 'B-fromloc.city_name', 'I-fromloc.city_name', 'O', 'B-toloc.city_name', 'O', 'B-depart_date.day_name', 'B-depart_date.month_name', 'B-depart_date.day_number', 'O', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__']",flight,"['O', 'O', 'O', 'O', 'O', 'O', 'B-fromloc.city_name', 'B-fromloc.city_name', 'O', 'B-toloc.city_name', 'O', 'O', 'B-toloc.city_name', 'O', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__', '__padded__']",BOS are there any flights from long beach to columbus on wednesday april sixth EOS
